episode_id,n,rho,tau
0,783,-0.0006058635524240726,0.03202599360770787
1,1048,-0.02918132488091785,0.017155931574374995
2,957,0.034302468492846426,0.04764462364732279
3,1010,0.0031309493786083266,0.04475462130466421
4,861,0.17383440579223072,0.1783186046228923
5,1008,0.12368692482359199,0.11385273475505009
6,907,0.23873343863500426,0.22007177975330994
7,793,0.11702209674236211,0.1174429501003233
8,896,0.15872415389877312,0.15164905834341333
9,890,0.14608619001333073,0.14155494607248179
10,896,0.08002582844926816,0.10028518674243139
11,952,-0.05688072435405749,-0.022403025509002732
12,956,0.052195163618109996,0.06251278934105531
13,444,0.11677554276051472,0.09620793813960045
14,848,0.1452922809796504,0.13366617345222806
15,929,0.1605013795325398,0.15512349287304147
16,712,0.0947026908403002,0.0823885448588435
17,857,0.1585247692887817,0.13689169817988633
18,1010,0.04436545662326751,0.05805513270439021
19,664,0.012321974109881756,0.041857837758727395
